Molecule ChEMBL ID,Smiles,IC50 (nM)
CHEMBL3645926,CCc1ncnc(-c2ccc(C(=O)N3CCn4cnnc4C3)c(Cl)c2)c1C#Cc1ccc(N)nc1,4.83
CHEMBL3645828,CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(CCCS(C)(=O)=O)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,15.47
CHEMBL3645829,CCc1ncnc(-c2cc(F)c(C(=O)N3CCn4ccnc4C3)c(Cl)c2)c1C#Cc1ccc(N)nc1,18.28
CHEMBL3643069,CCc1ncnc(-c2ccc(C(=O)N3CCNC(=O)C3)c(OC)c2)c1C#Cc1ccc(N)nc1,19
CHEMBL3645867,CCc1ncnc(-c2cc(Cl)c(C(=O)N3CCN(C)C(=O)C3)c(Cl)c2)c1C#Cc1ccc(N)nc1,20.33
CHEMBL3645927,CCc1ncnc(-c2ccc(C(=O)N3CCn4ccnc4C3)c(Cl)c2)c1C#Cc1ccc(N)nc1,22.96
CHEMBL3640954,CCc1ncnc(-c2cnc3ccccc3c2)c1C#Cc1ccc(N)nc1,24
CHEMBL3640926,Cc1ncnc(-c2ccc(C(C)(C)C#N)cc2)c1C#Cc1ccc(N)nc1,24
CHEMBL3645832,CCc1ncnc(-c2cc(F)c(C(=O)N3CCC4(CC3)COC4)c(Cl)c2)c1C#Cc1ccc(N)nc1,25.82
CHEMBL3640925,CCc1ncnc(-c2ccc(C(C)(C)C#N)cc2)c1C#Cc1ccc(N)nc1,26
CHEMBL3641018,CCc1ncnc(-c2ccc(C(=O)N3CCNC(=O)C3)c(Cl)c2)c1C#Cc1ccc(N)nc1,27
CHEMBL3643122,CCc1ncnc(-c2ccc(C(=O)N3CCN(/C(=N/C)NC#N)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,27
CHEMBL3640960,CCc1ncnc(-c2ccc(C3CC3)nc2)c1C#Cc1ccc(N)nc1,29
CHEMBL3640928,CCc1ncnc(-c2cc(C)nc(C)c2)c1C#Cc1ccc(N)nc1,29
CHEMBL3640947,Cc1ncnc(-c2cnc3ccccc3c2)c1C#Cc1ccc(N)nc1,30
CHEMBL3640956,CCc1ncnc(-c2ccc(C)nc2)c1C#Cc1ccc(N)nc1,30
CHEMBL3645827,CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(C4CCC4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,30.2
CHEMBL3645924,CCc1ncnc(-c2ccc(C(=O)N3CCN(CCNS(C)(=O)=O)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,30.6
CHEMBL3645925,CCc1ncnc(-c2ccc(C(=O)N3CCn4c(C)cnc4C3)c(Cl)c2)c1C#Cc1ccc(N)nc1,31.55
CHEMBL3645788,CCc1ncnc(-c2ccc(C(=O)NCCN3CCOCC3)c(C)c2)c1C#Cc1ccc(N)nc1,31.84
CHEMBL3640957,CCc1ncnc(-c2ccc(N3CCOCC3)nc2)c1C#Cc1ccc(N)nc1,32
CHEMBL3643065,CCc1ncnc(-c2ccc(C(=O)N3CCN(S(=O)(=O)CC)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,36
CHEMBL3641008,CCc1ncnc(-c2ccc(C(=O)N(C)CCO)c(Cl)c2)c1C#Cc1ccc(N)nc1,36
CHEMBL3645783,CCc1ncnc(-c2ccc(C(=O)N(C)C3CCS(=O)(=O)C3)c(C)c2)c1C#Cc1ccc(N)nc1,36.82
CHEMBL3643203,Cc1ncnc(-c2ccc(C(=O)N3CCCO3)c(Cl)c2)c1C#Cc1ccc(N)nc1,37
CHEMBL3640959,CCc1ncnc(-c2ccc(N(C)C)nc2)c1C#Cc1ccc(N)nc1,37
CHEMBL3645805,CCc1ncnc(-c2ccc(C(=O)N3CCNCC3)c(C)c2)c1C#Cc1ccc(N)nc1,37.16
CHEMBL3645830,CCc1ncnc(-c2cc(F)c(C(=O)N3CCn4cnnc4C3)c(Cl)c2)c1C#Cc1ccc(N)nc1,37.51
CHEMBL3643205,Cc1ncnc(-c2ccc(C(=O)N3CC(O)CO3)c(Cl)c2)c1C#Cc1ccc(N)nc1,38
CHEMBL3643197,CCc1ncnc(-c2ccc(C(=O)N3CC(O)CO3)cc2)c1C#Cc1ccc(N)nc1,39
CHEMBL3640931,Cc1ncnc(-c2ccccc2)c1C#Cc1ccc(N)nc1,39
CHEMBL3643272,CCc1ncnc(-c2ccc(C(=O)N3CCN(S(=O)(=O)CC)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,39.47
CHEMBL3640927,CCc1cc(-c2ncnc(CC)c2C#Cc2ccc(N)nc2)ccn1,40
CHEMBL3640955,CCc1ncnc(-c2ccc(OC)nc2)c1C#Cc1ccc(N)nc1,40
CHEMBL3643195,CCc1ncnc(-c2ccc(C(=O)N3CCCO3)cc2)c1C#Cc1ccc(N)nc1,42
CHEMBL3643077,CCc1ncnc(-c2ccc(C(=O)N(C)O)c(F)c2)c1C#Cc1ccc(N)nc1,42
CHEMBL3640951,Cc1ncnc(-c2ccc(C3CC3)nc2)c1C#Cc1ccc(N)nc1,43
CHEMBL3643190,CCc1ncnc(-c2ccc(C(=O)NCCN3CCOCC3)c(F)c2)c1C#Cc1ccc(N)nc1,44
CHEMBL3645932,CCNc1ccc(C#Cc2c(CC)ncnc2-c2ccc(C(=O)N3CCn4cnnc4C3)c(F)c2)cn1,44.34
CHEMBL3645811,CCc1ncnc(-c2ccc(C(=O)N3CCCOCC3)c(C)c2)c1C#Cc1ccc(N)nc1,44.88
CHEMBL3643206,CON(C)C(=O)c1ccc(-c2ncnc(C)c2C#Cc2ccc(N)nc2)cc1Cl,45
CHEMBL3645809,CCc1ncnc(-c2ccc(C(=O)N3CCN(c4ccncc4)CC3)c(C)c2)c1C#Cc1ccc(N)nc1,45.55
CHEMBL3645820,CCc1ncnc(-c2ccc(C(=O)N3CCN4CCCC[C@@H]4C3)c(F)c2)c1C#Cc1ccc(N)nc1,45.78
CHEMBL3643184,CCc1ncnc(-c2ccc(C(=O)NCCN3CCCC3=O)c(F)c2)c1C#Cc1ccc(N)nc1,46
CHEMBL3643204,Cc1ncnc(-c2ccc(C(=O)N3CCCCO3)c(Cl)c2)c1C#Cc1ccc(N)nc1,46
CHEMBL3643112,CCc1ncnc(-c2ccc(C(=O)N3CC[S+]([O-])CC3)c(F)c2)c1C#Cc1ccc(N)nc1,46
CHEMBL3645911,CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(C)C(=O)C3)c(Cl)c2)c1C#Cc1ccc(N)nc1,46.18
CHEMBL3645800,CCc1ncnc(-c2ccc(C(=O)N3CCC(C)(O)CC3)c(C)c2)c1C#Cc1ccc(N)nc1,46.61
CHEMBL3643200,Cc1ncnc(-c2ccc(C(=O)N3CCCCO3)c(F)c2)c1C#Cc1ccc(N)nc1,47
CHEMBL3640935,Cc1ncnc(-c2ccc(C(=O)N(C)C)c(F)c2)c1C#Cc1ccc(N)nc1,47
CHEMBL3643199,Cc1ncnc(-c2ccc(C(=O)N3CCCO3)c(F)c2)c1C#Cc1ccc(N)nc1,48
CHEMBL3643271,CCc1ncnc(-c2ccc(C(=O)N(C)C3CCS(=O)(=O)C3)c(Cl)c2)c1C#Cc1ccc(N)nc1,48.19
CHEMBL3645923,CCc1ncnc(-c2ccc(C(=O)N3CCN(C4CCC4)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,48.24
CHEMBL3645877,CCc1ncnc(-c2cc(Cl)c(C(=O)N3CCC(CO)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,48.89
CHEMBL3643109,CCc1ncnc(-c2ccc(C(=O)N3CCCOCC3)c(F)c2)c1C#Cc1ccc(N)nc1,49
CHEMBL3643223,CCc1ncnc(-c2cc(F)c(C(=O)N(C)C)c(F)c2)c1C#Cc1ccc(N)nc1,49.06
CHEMBL3643270,CCc1ncnc(-c2ccc(C(=O)N(C)OC)c(Cl)c2)c1C#Cc1ccc(N)nc1,49.97
CHEMBL3640929,CNC(=O)c1ccc(-c2ncnc(C)c2C#Cc2ccc(N)nc2)cc1Cl,50
CHEMBL3645919,CCc1ncnc(-c2ccc(C(=O)N3CCn4cnnc4C3)c(F)c2)c1C#Cc1ccc(N)nc1,50.79
CHEMBL3645836,CCc1ncnc(-c2cc(F)c(C(=O)N3CCC4(CC3)CNC4)c(Cl)c2)c1C#Cc1ccc(N)nc1,50.82
CHEMBL3645782,CCc1ncnc(-c2ccc(C(=O)N(C)OC)c(C)c2)c1C#Cc1ccc(N)nc1,51.68
CHEMBL3643201,Cc1ncnc(-c2ccc(C(=O)N3CC(O)CO3)c(F)c2)c1C#Cc1ccc(N)nc1,52
CHEMBL3643097,CCc1ncnc(-c2ccc(C(=O)N3CCN(S(=O)(=O)CC)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,52
CHEMBL3643280,CCc1ncnc(-c2ccc(C(=O)N3CCCC(O)C3)c(C)c2)c1C#Cc1ccc(N)nc1,52.47
CHEMBL3643232,CCc1ncnc(-c2ccc(C(=O)N3CCC(O)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,52.89
CHEMBL3643159,CCc1ncnc(-c2ccc(C(=O)N3CCN(O)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,53
CHEMBL3645801,CCc1ncnc(-c2ccc(C(=O)N3CC[C@H](O)C3)c(C)c2)c1C#Cc1ccc(N)nc1,53.3
CHEMBL3643265,CCc1ncnc(-c2ccc(C(=O)N3CCCO3)c(Cl)c2)c1C#Cc1ccc(N)nc1,53.88
CHEMBL3643212,CCc1ncnc(-c2ccc(C(=O)N3CCOCC3)c(F)c2)c1C#Cc1ccc(N)nc1,55
CHEMBL3643124,CCc1ncnc(-c2ccc(C(=O)N(C)CCN3CCCC3=O)c(F)c2)c1C#Cc1ccc(N)nc1,55
CHEMBL3645821,CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(CCCS(C)(=O)=O)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,55.7
CHEMBL3643275,CCc1ncnc(-c2ccc(C(=O)N(C)CCN3CCCC3=O)c(Cl)c2)c1C#Cc1ccc(N)nc1,56.4
CHEMBL3640940,CCc1ncnc(-c2ccc(C(=O)N(C)C)c(F)c2)c1C#Cc1ccc(N)nc1,57
